Dataset Name,Source GitHub Paths,Target Location,File Type,Project,Preprocessing Required,Upload Timestamp,Uploaded to Warhouse ,Deleted From GitHub
TeamLogo.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/IPL_2023_Cricket_analysis/Data/Team_Logo.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:32:05 PM",Yes,No
AdelaideTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/adilade_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:59:03 PM",Yes,No
BrisbaneTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/brisbane_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:59:47 PM",Yes,No
2022T20WorldCupData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/cleaned_t20.csv,dw-silver,CSV,project-3,No,"9/10/2025, 6:00:54 PM",Yes,No
GeelongTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/geelong_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 6:01:52 PM",Yes,No
HobartTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/hobart_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 6:02:32 PM",Yes,No
MelbourneTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/melbourne_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 6:03:10 PM",Yes,No
PerthTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/perth_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 6:03:41 PM",Yes,No
SydneyTossData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/T20-Toss_decision-analysis/T20-Toss_decision-main/cleaned%20data/sydney_cleaned.csv,dw-silver,CSV,project-3,No,"9/10/2025, 6:04:14 PM",Yes,No
EPLResults2023.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Football%20Analysis/data/epl_results_2023.csv,dw-silver,CSV,project-3,No,"9/10/2025, 7:44:19 PM",Yes,No
EPLResults2022.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Football%20Analysis/data/epl_results_2022.csv,dw-silver,CSV,project-3,No,"9/10/2025, 7:45:01 PM",Yes,No
EPLResults2021.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Football%20Analysis/data/epl_results_2021.csv,dw-silver,CSV,project-3,No,"9/10/2025, 7:45:36 PM",Yes,No
EPLResults2020.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Football%20Analysis/data/epl_results_2020.csv,dw-silver,CSV,project-3,No,"9/10/2025, 7:46:12 PM",Yes,No
